feature_id,domain,feature,subfeature,v1_status,v1_evidence,current_status,current_evidence,desktop_status,security_status,test_status,decision,priority,recommended_phase,notes
F036,Auction,Reputation,Office Scoring,FULL,office_rating_snapshots table,MISSING,MISSING,N/A,SAFE,MISSING,RESTORE,HIGH,2,Multi-factor scoring
F037,Auction,History,Price Tracking,FULL,auction_price_history table,MISSING,MISSING,N/A,SAFE,MISSING,RESTORE,MEDIUM,3,Price timeline
F038,Service Hub,Profile,Provider,FULL,ServiceHub.tsx,FULL,app/providers/[id]/page.tsx,N/A,SAFE,TEST_VERIFIED,KEEP,LOW,1,Provider profiles
F039,Service Hub,Requests,Create,Accept,Complete,FULL,api/service-hub.ts,FULL,app/dashboard/services/page.tsx,N/A,SAFE,TEST_VERIFIED,KEEP,LOW,1,Service requests
F040,Service Hub,Ratings,Provider,FULL,api/service-hub.ts,FULL,service_ratings table,N/A,SAFE,TEST_VERIFIED,KEEP,LOW,1,Provider ratings
F041,Service Hub,Feedback,Client,FULL,api/service-hub.ts,MISSING,MISSING,N/A,SAFE,MISSING,RESTORE,HIGH,2,Client feedback
F042,Service Hub,Dispatching,GPS,FULL,api/service-hub.ts,MISSING,MISSING,N/A,SAFE,MISSING,RESTORE,HIGH,2,Real-time dispatch
F043,Tender,Create,Tender,FULL,TenderCreate.tsx,MISSING,MISSING,N/A,SAFE,MISSING,RESTORE,MEDIUM,3,Tender creation
F044,Tender,Bidding,Artisan Bid,FULL,api/tenders.ts,MISSING,MISSING,N/A,SAFE,MISSING,RESTORE,MEDIUM,3,Tender bidding
F045,Marketing,Profile,Marketer,FULL,MarketerRegister.tsx,MISSING,MISSING,N/A,SAFE,MISSING,RESTORE,MEDIUM,3,Marketer profiles
F046,Marketing,Contracts,Create,FULL,marketing_contracts table,MISSING,MISSING,N/A,SAFE,MISSING,RESTORE,MEDIUM,3,Marketing contracts
F047,Marketing,Commissions,Track,FULL,commissions table,MISSING,MISSING,N/A,SAFE,MISSING,RESTORE,MEDIUM,3,Commission tracking
F048,Advertising,Geo-Targeting,Country/Region/City,FULL,ads table,MISSING,MISSING,N/A,SAFE,MISSING,RESTORE,CRITICAL,2,Geo-targeted ads
F049,Advertising,Sponsors,Tiers,FULL,ads table,MISSING,MISSING,N/A,SAFE,MISSING,RESTORE,HIGH,2,Platinum/Gold/Silver
F050,Advertising,Rotation,Configurable,FULL,ads table,MISSING,MISSING,N/A,SAFE,MISSING,RESTORE,HIGH,2,Ad rotation
F051,Advertising,Limits,Views/Clicks,FULL,ads table,MISSING,MISSING,N/A,SAFE,MISSING,RESTORE,MEDIUM,3,Campaign limits
F052,Chat,Conversations,Private/Group,FULL,chat-server.ts,MISSING,MISSING,N/A,SAFE,MISSING,RESTORE,CRITICAL,2,Real-time chat
F053,Chat,Messages,Text/Image/Voice/File,FULL,chat-server.ts,MISSING,MISSING,N/A,SAFE,MISSING,RESTORE,CRITICAL,2,Message types
F054,Chat,Encryption,AES-256-GCM,FULL,chat-server.ts,MISSING,MISSING,N/A,SAFE,MISSING,RESTORE,HIGH,2,E2E encryption
F055,Chat,Moderation,Oversight,FULL,chat-server.ts,MISSING,MISSING,N/A,SAFE,MISSING,RESTORE,HIGH,2,Chat moderation
F056,Content,Blog,CRUD,FULL,WriteBlog.tsx,MISSING,MISSING,N/A,SAFE,MISSING,RESTORE,MEDIUM,3,Blog system
F057,Content,Suppliers,Directory,FULL,Suppliers.tsx,MISSING,MISSING,N/A,SAFE,MISSING,RESTORE,MEDIUM,3,Supplier directory
F058,Content,Software,Directory,Licensing,FULL,Software.tsx,MISSING,MISSING,N/A,SAFE,MISSING,RESTORE,MEDIUM,3,Software licensing
F059,Content,News Ticker,Display,FULL,AdminNewsTicker.tsx,MISSING,MISSING,N/A,SAFE,MISSING,RESTORE,MEDIUM,3,News ticker
F060,Organization,Offices,CRUD,Verification,FULL,Offices.tsx,FULL,app/offices/page.tsx,N/A,SAFE,TEST_VERIFIED,KEEP,LOW,1,Office management
F061,Organization,Companies,CRUD,Account Switching,FULL,CreateCompany.tsx,FULL,app/dashboard/company/page.tsx,N/A,SAFE,TEST_VERIFIED,KEEP,LOW,1,Company management
F062,Organization,Reputation,Office Scoring,FULL,office_rating_snapshots table,MISSING,MISSING,N/A,SAFE,MISSING,RESTORE,HIGH,2,Multi-factor scoring
F063,Engineering,BOQ,Bill of Quantities,FULL,BOQEngine.tsx,MISSING,MISSING,N/A,SAFE,MISSING,RESTORE,MEDIUM,3,8-section BOQ
F064,Engineering,3D,Visualization,FULL,Building3DVisualizer.tsx,MISSING,MISSING,N/A,SAFE,MISSING,RESTORE,MEDIUM,3,Three.js 3D
F065,Engineering,CAD,DXF Export,FULL,DXFWriter.ts,MISSING,MISSING,N/A,SAFE,MISSING,RESTORE,LOW,4,AutoCAD export
F066,Engineering,Contracts,Bilingual,FULL,BilingualPDFContract.tsx,MISSING,MISSING,N/A,SAFE,MISSING,RESTORE,MEDIUM,3,Contract generator
F067,Engineering,Specialized,10+ Engines,FULL,arch/ directory,MISSING,MISSING,N/A,SAFE,MISSING,RESTORE,LOW,4,Specialized engines
F068,Desktop,License,Validation,HWID,FULL,api/desktop.ts,PARTIAL,lib/integration,N/A,SAFE,PARTIAL,KEEP_AND_IMPROVE,HIGH,2,License management
F069,Desktop,Sync,Property,FULL,api/desktop.ts,FULL,lib/integration/sync.ts,N/A,SAFE,TEST_VERIFIED,KEEP,LOW,1,Property sync
F070,Desktop,Sync,Ad/News,FULL,api/desktop.ts,PARTIAL,lib/integration,N/A,SAFE,PARTIAL,KEEP_AND_IMPROVE,MEDIUM,3,Ad/news sync
F071,Payment,Thawani,Gateway,FULL,api/payments.ts,MISSING,MISSING,N/A,SAFE,MISSING,RESTORE,MEDIUM,3,Payment gateway
F072,Payment,Tap,Gateway,FULL,api/payments.ts,MISSING,MISSING,N/A,SAFE,MISSING,RESTORE,MEDIUM,3,Payment gateway
F073,Payment,Subscriptions,Plans,FULL,plans table,MISSING,MISSING,N/A,SAFE,MISSING,RESTORE,MEDIUM,3,Subscription plans
F074,Payment,Coupons,Discount,FULL,coupons table,MISSING,MISSING,N/A,SAFE,MISSING,RESTORE,LOW,4,Coupon system
F075,Notifications,Push,Web Push VAPID,FULL,usePushNotifications.ts,MISSING,MISSING,N/A,SAFE,MISSING,RESTORE,MEDIUM,3,Push notifications
F076,Notifications,Email,Email Alerts,FULL,email_logs table,MISSING,MISSING,N/A,SAFE,MISSING,RESTORE,MEDIUM,3,Email notifications
F077,Admin,Activity Log,Audit Trail,FULL,AdminActivityLog.tsx,MISSING,MISSING,N/A,SAFE,MISSING,RESTORE,HIGH,2,Activity logging
F078,Admin,Emperor,Panel,FULL,AdminEmperor.tsx,MISSING,MISSING,N/A,SAFE,MISSING,PRODUCT_OWNER_DECISION,UNKNOWN,5,Unknown purpose
F079,Admin,Matchmaking,Property,FULL,AdminMatchmaking.tsx,MISSING,MISSING,N/A,SAFE,MISSING,RESTORE,MEDIUM,3,Property matching
F080,Admin,Elite Leads,Management,FULL,AdminEliteLeads.tsx,MISSING,MISSING,N/A,SAFE,MISSING,RESTORE,HIGH,2,High-value leads
F081,Admin,Relist Monitoring,Fraud,FULL,AdminRelistMonitoring.tsx,MISSING,MISSING,N/A,SAFE,MISSING,RESTORE,HIGH,2,Fraud monitoring
F082,Engineering,Land Analysis,AI/OCR,FULL,landAnalysisService.ts,PARTIAL,app/tools/find-my-land,N/A,SAFE,PARTIAL,KEEP_AND_IMPROVE,MEDIUM,3,Land analysis
F083,Engineering,FindMyLand,Parcel Finder,MISSING,N/A,FULL,app/tools/find-my-land/page.tsx,N/A,SAFE,TEST_VERIFIED,KEEP,LOW,1,AMRS integration
F084,Content,Knowledge Base,Books/Software,MISSING,N/A,FULL,app/knowledge/page.tsx,N/A,SAFE,TEST_VERIFIED,KEEP,LOW,1,Knowledge base
F085,Content,Community Forum,Topics/Posts,MISSING,N/A,FULL,app/community/page.tsx,N/A,SAFE,TEST_VERIFIED,KEEP,LOW,1,Community forum
