Capability_ID,Domain,Capability_Name,V1_Description,V1_UI_Evidence,V1_API_Evidence,V1_Service_Evidence,V1_DB_Evidence,V1_Permission_Evidence,V1_Runtime_Depth,V1_Implementation_Status,Business_Criticality,Notes
CAP-001,Admin,AdminEmperor,PASS A feature record: AdminEmperor; logic=threshold logic; admin=no; tests=no.,AdminEmperor.tsx:370,yes GET — AdminEmperor.tsx:370,logic=threshold logic,db=yes (read),admin/guard=no,L4_END_TO_END_WIRED,L4_END_TO_END_WIRED,CRITICAL,Derived from reconciled PASS A implementation-depth evidence.
CAP-021,Notifications,AdminNotifications,PASS A feature record: AdminNotifications; logic=no; admin=NONE; tests=no.,AdminNotifications.tsx:267,no (localStorage) — AdminNotifications.tsx:267,logic=no,db=no,admin/guard=NONE,L1_UI_ONLY,L1_UI_ONLY,MAJOR,Derived from reconciled PASS A implementation-depth evidence.
CAP-022,Admin,AdminPayments,PASS A feature record: AdminPayments; logic=confirm/reject; admin=admin role; tests=no.,AdminPayments.tsx:330,yes GET+PATCH — AdminPayments.tsx:330,logic=confirm/reject,db=yes,admin/guard=admin role,L4_END_TO_END_WIRED,L4_END_TO_END_WIRED,CRITICAL,Derived from reconciled PASS A implementation-depth evidence.
CAP-023,Membership,AdminPlans,PASS A feature record: AdminPlans; logic=no role guard; admin=token only; tests=no.,AdminPlans.tsx:469,yes CRUD — AdminPlans.tsx:469,logic=no role guard,db=yes,admin/guard=token only,L3_PARTIAL_FLOW,L3_PARTIAL_FLOW,MAJOR,Derived from reconciled PASS A implementation-depth evidence.
CAP-024,Properties,AdminProperties,PASS A feature record: AdminProperties; logic=approve/reject; admin=NONE; tests=no.,AdminProperties.tsx:401,yes GET + localStorage — AdminProperties.tsx:401,logic=approve/reject,db=yes,admin/guard=NONE,L3_PARTIAL_FLOW,L3_PARTIAL_FLOW,CRITICAL,Derived from reconciled PASS A implementation-depth evidence.
CAP-025,Auctions,AdminRelistMonitoring,PASS A feature record: AdminRelistMonitoring; logic=verify/reject/clear; admin=token only; tests=no.,AdminRelistMonitoring.tsx:386,yes GET+POST — AdminRelistMonitoring.tsx:386,logic=verify/reject/clear,db=yes,admin/guard=token only,L4_END_TO_END_WIRED,L4_END_TO_END_WIRED,CRITICAL,Derived from reconciled PASS A implementation-depth evidence.
CAP-026,Admin,AdminReports,PASS A feature record: AdminReports; logic=no; admin=NONE; tests=no.,AdminReports.tsx:373,no (localStorage) — AdminReports.tsx:373,logic=no,db=no,admin/guard=NONE,L1_UI_ONLY,L1_UI_ONLY,CRITICAL,Derived from reconciled PASS A implementation-depth evidence.
CAP-027,Admin,AdminSEO,PASS A feature record: AdminSEO; logic=no; admin=NONE; tests=no.,AdminSEO.tsx:608,no (localStorage) — AdminSEO.tsx:608,logic=no,db=no,admin/guard=NONE,L1_UI_ONLY,L1_UI_ONLY,CRITICAL,Derived from reconciled PASS A implementation-depth evidence.
CAP-028,Services,AdminServiceMarket,PASS A feature record: AdminServiceMarket; logic=category management; admin=NONE; tests=no.,AdminServiceMarket.tsx:425,yes CRUD — AdminServiceMarket.tsx:425,logic=category management,db=yes,admin/guard=NONE,L4_END_TO_END_WIRED,L4_END_TO_END_WIRED,CRITICAL,Derived from reconciled PASS A implementation-depth evidence.
CAP-029,Services,AdminServiceReviews,PASS A feature record: AdminServiceReviews; logic=blacklist; admin=token only; tests=no.,AdminServiceReviews.tsx:307,yes GET+DELETE+PATCH — AdminServiceReviews.tsx:307,logic=blacklist,db=yes,admin/guard=token only,L4_END_TO_END_WIRED,L4_END_TO_END_WIRED,CRITICAL,Derived from reconciled PASS A implementation-depth evidence.
CAP-030,Admin,AdminSettings,PASS A feature record: AdminSettings; logic=no; admin=NONE; tests=no.,AdminSettings.tsx:509,no (localStorage) — AdminSettings.tsx:509,logic=no,db=no,admin/guard=NONE,L1_UI_ONLY,L1_UI_ONLY,CRITICAL,Derived from reconciled PASS A implementation-depth evidence.
CAP-031,Office Integration,AdminSoftwareLicenses,PASS A feature record: AdminSoftwareLicenses; logic=license lifecycle; admin=admin role; tests=no.,AdminSoftwareLicenses.tsx:205,yes CRUD — AdminSoftwareLicenses.tsx:205,logic=license lifecycle,db=yes,admin/guard=admin role,L4_END_TO_END_WIRED,L4_END_TO_END_WIRED,CRITICAL,Derived from reconciled PASS A implementation-depth evidence.
CAP-032,Services,AdminTenders,PASS A feature record: AdminTenders; logic=cancel only; admin=token only; tests=no.,AdminTenders.tsx:103,yes GET+PATCH — AdminTenders.tsx:103,logic=cancel only,db=yes,admin/guard=token only,L3_PARTIAL_FLOW,L3_PARTIAL_FLOW,CRITICAL,Derived from reconciled PASS A implementation-depth evidence.
CAP-033,Admin,AdminTickets,PASS A feature record: AdminTickets; logic=no; admin=NONE; tests=no.,AdminTickets.tsx:424,no (localStorage) — AdminTickets.tsx:424,logic=no,db=no,admin/guard=NONE,L1_UI_ONLY,L1_UI_ONLY,CRITICAL,Derived from reconciled PASS A implementation-depth evidence.
CAP-034,Identity,AdminUsers,PASS A feature record: AdminUsers; logic=mass operations; admin=NONE; tests=no.,AdminUsers.tsx:1049,localStorage + apiRequest — AdminUsers.tsx:1049,logic=mass operations,db=yes,admin/guard=NONE,L3_PARTIAL_FLOW,L3_PARTIAL_FLOW,CRITICAL,Derived from reconciled PASS A implementation-depth evidence.
CAP-035,Identity,AdminUsersPage,PASS A feature record: AdminUsersPage; logic=no; admin=no; tests=no.,none recorded,no — Empty 0-byte file,logic=no,db=no,admin/guard=no,L0_IDEA_ONLY,V1_STUB,CRITICAL,Derived from reconciled PASS A implementation-depth evidence.
CAP-036,Admin,AdminVerification,PASS A feature record: AdminVerification; logic=approve/reject; admin=admin role; tests=no.,AdminVerification.tsx:197,yes GET+PATCH — AdminVerification.tsx:197,logic=approve/reject,db=yes,admin/guard=admin role,L4_END_TO_END_WIRED,L4_END_TO_END_WIRED,CRITICAL,Derived from reconciled PASS A implementation-depth evidence.
CAP-037,UX,About,PASS A feature record: About; logic=no; admin=no; tests=no.,About.tsx:283,no — About.tsx:283,logic=no,db=no,admin/guard=no,L1_UI_ONLY,L1_UI_ONLY,MAJOR,Derived from reconciled PASS A implementation-depth evidence.
CAP-038,Ads,Advertise,PASS A feature record: Advertise; logic=no; admin=no; tests=no.,Advertise.tsx:373,no — Advertise.tsx:373,logic=no,db=no,admin/guard=no,L1_UI_ONLY,L1_UI_ONLY,CRITICAL,Derived from reconciled PASS A implementation-depth evidence.
CAP-039,Tools,ArchitecturalConsultant,PASS A feature record: ArchitecturalConsultant; logic=20+ engineering engines; admin=no; tests=no.,ArchitecturalConsultant.tsx:2384,no (local engines) — ArchitecturalConsultant.tsx:2384,logic=20+ engineering engines,db=no,admin/guard=no,L4_END_TO_END_WIRED,L4_END_TO_END_WIRED,MAJOR,Derived from reconciled PASS A implementation-depth evidence.
CAP-040,Services,ArtisanDashboard,PASS A feature record: ArtisanDashboard; logic=artisan data mgmt; admin=token; tests=no.,ArtisanDashboard.tsx:399,yes via lib — ArtisanDashboard.tsx:399,logic=artisan data mgmt,db=yes,admin/guard=token,L4_END_TO_END_WIRED,L4_END_TO_END_WIRED,CRITICAL,Derived from reconciled PASS A implementation-depth evidence.
CAP-041,Auctions,AuctionDetail,PASS A feature record: AuctionDetail; logic=bidding + countdown; admin=no (auth for bid); tests=no.,AuctionDetail.tsx:410,yes GET+POST — AuctionDetail.tsx:410,logic=bidding + countdown,db=yes,admin/guard=no (auth for bid),L4_END_TO_END_WIRED,L4_END_TO_END_WIRED,CRITICAL,Derived from reconciled PASS A implementation-depth evidence.
CAP-042,Auctions,AuctionFAQ,PASS A feature record: AuctionFAQ; logic=no; admin=no; tests=no.,AuctionFAQ.tsx:162,no — AuctionFAQ.tsx:162,logic=no,db=no,admin/guard=no,L1_UI_ONLY,L1_UI_ONLY,CRITICAL,Derived from reconciled PASS A implementation-depth evidence.
CAP-043,Auctions,AuctionHistory,PASS A feature record: AuctionHistory; logic=price history; admin=no; tests=no.,AuctionHistory.tsx:173,yes GET — AuctionHistory.tsx:173,logic=price history,db=yes,admin/guard=no,L3_PARTIAL_FLOW,L3_PARTIAL_FLOW,CRITICAL,Derived from reconciled PASS A implementation-depth evidence.
CAP-044,Auctions,Auctions,PASS A feature record: Auctions; logic=filters; admin=no; tests=no.,Auctions.tsx:196,yes GET — Auctions.tsx:196,logic=filters,db=yes,admin/guard=no,L3_PARTIAL_FLOW,L3_PARTIAL_FLOW,CRITICAL,Derived from reconciled PASS A implementation-depth evidence.
CAP-045,Auctions,AuctionStats,PASS A feature record: AuctionStats; logic=PDF export; admin=no; tests=no.,AuctionStats.tsx:183,yes GET — AuctionStats.tsx:183,logic=PDF export,db=yes,admin/guard=no,L3_PARTIAL_FLOW,L3_PARTIAL_FLOW,CRITICAL,Derived from reconciled PASS A implementation-depth evidence.
CAP-046,Auctions,AuctionTerms,PASS A feature record: AuctionTerms; logic=no; admin=no; tests=no.,AuctionTerms.tsx:205,no — AuctionTerms.tsx:205,logic=no,db=no,admin/guard=no,L1_UI_ONLY,L1_UI_ONLY,CRITICAL,Derived from reconciled PASS A implementation-depth evidence.
CAP-047,UX,Blog,PASS A feature record: Blog; logic=category filter; admin=no; tests=no.,Blog.tsx:199,yes GET — Blog.tsx:199,logic=category filter,db=yes,admin/guard=no,L3_PARTIAL_FLOW,L3_PARTIAL_FLOW,MAJOR,Derived from reconciled PASS A implementation-depth evidence.
CAP-048,UX,BlogPostDetail,PASS A feature record: BlogPostDetail; logic=comments (localStorage); admin=no; tests=no.,BlogPostDetail.tsx:257,yes GET — BlogPostDetail.tsx:257,logic=comments (localStorage),db=yes,admin/guard=no,L3_PARTIAL_FLOW,L3_PARTIAL_FLOW,MAJOR,Derived from reconciled PASS A implementation-depth evidence.
CAP-049,Office Integration,BuyLicense,PASS A feature record: BuyLicense; logic=PayPal/Thawani/bank; admin=no (auth for purchase); tests=no.,BuyLicense.tsx:482,yes multiple — BuyLicense.tsx:482,logic=PayPal/Thawani/bank,db=yes,admin/guard=no (auth for purchase),L4_END_TO_END_WIRED,L4_END_TO_END_WIRED,CRITICAL,Derived from reconciled PASS A implementation-depth evidence.
CAP-050,UX,ConsultantDashboard,PASS A feature record: ConsultantDashboard; logic=no; admin=no; tests=no.,ConsultantDashboard.tsx:463,no (mock) — ConsultantDashboard.tsx:463,logic=no,db=no,admin/guard=no,L1_UI_ONLY,L1_UI_ONLY,MAJOR,Derived from reconciled PASS A implementation-depth evidence.
CAP-051,UX,Contact,PASS A feature record: Contact; logic=no; admin=no; tests=no.,Contact.tsx:124,no (mock) — Contact.tsx:124,logic=no,db=no,admin/guard=no,L1_UI_ONLY,L1_UI_ONLY,MAJOR,Derived from reconciled PASS A implementation-depth evidence.
CAP-052,Organizations,CreateCompany,PASS A feature record: CreateCompany; logic=localStorage company; admin=no; tests=no.,CreateCompany.tsx:97,yes context — CreateCompany.tsx:97,logic=localStorage company,db=yes,admin/guard=no,L3_PARTIAL_FLOW,L3_PARTIAL_FLOW,MAJOR,Derived from reconciled PASS A implementation-depth evidence.
CAP-053,UX,Dashboard,PASS A feature record: Dashboard; logic=property mgmt + API key; admin=token; tests=no.,Dashboard.tsx:487,yes multiple — Dashboard.tsx:487,logic=property mgmt + API key,db=yes,admin/guard=token,L4_END_TO_END_WIRED,L4_END_TO_END_WIRED,MAJOR,Derived from reconciled PASS A implementation-depth evidence.
CAP-054,Auctions,DashboardAuctions,PASS A feature record: DashboardAuctions; logic=create/cancel/proof; admin=token; tests=no.,DashboardAuctions.tsx:264,yes multiple — DashboardAuctions.tsx:264,logic=create/cancel/proof,db=yes,admin/guard=token,L4_END_TO_END_WIRED,L4_END_TO_END_WIRED,CRITICAL,Derived from reconciled PASS A implementation-depth evidence.
CAP-055,Auctions,DashboardBids,PASS A feature record: DashboardBids; logic=bid tracking; admin=token; tests=no.,DashboardBids.tsx:194,yes GET — DashboardBids.tsx:194,logic=bid tracking,db=yes,admin/guard=token,L3_PARTIAL_FLOW,L3_PARTIAL_FLOW,CRITICAL,Derived from reconciled PASS A implementation-depth evidence.
CAP-056,UX,DashboardPage,PASS A feature record: DashboardPage; logic=no; admin=no; tests=no.,none recorded,no — Empty 0-byte file,logic=no,db=no,admin/guard=no,L0_IDEA_ONLY,V1_STUB,MAJOR,Derived from reconciled PASS A implementation-depth evidence.
CAP-057,Identity,DashboardProfile,PASS A feature record: DashboardProfile; logic=avatar upload; admin=token; tests=no.,DashboardProfile.tsx:194,yes PUT — DashboardProfile.tsx:194,logic=avatar upload,db=yes,admin/guard=token,L3_PARTIAL_FLOW,L3_PARTIAL_FLOW,CRITICAL,Derived from reconciled PASS A implementation-depth evidence.
CAP-058,Services,DashboardTenderBids,PASS A feature record: DashboardTenderBids; logic=bid tracking; admin=token; tests=no.,DashboardTenderBids.tsx:94,yes GET — DashboardTenderBids.tsx:94,logic=bid tracking,db=yes,admin/guard=token,L3_PARTIAL_FLOW,L3_PARTIAL_FLOW,CRITICAL,Derived from reconciled PASS A implementation-depth evidence.
CAP-059,Services,DashboardTenders,PASS A feature record: DashboardTenders; logic=tender CRUD; admin=token; tests=no.,DashboardTenders.tsx:126,yes GET+POST+DELETE — DashboardTenders.tsx:126,logic=tender CRUD,db=yes,admin/guard=token,L4_END_TO_END_WIRED,L4_END_TO_END_WIRED,CRITICAL,Derived from reconciled PASS A implementation-depth evidence.
CAP-060,Identity,DevLogin,PASS A feature record: DevLogin; logic=blocked in prod; admin=prod-blocked; tests=no.,DevLogin.tsx:68,no (localStorage) — DevLogin.tsx:68,logic=blocked in prod,db=no,admin/guard=prod-blocked,L1_UI_ONLY,L1_UI_ONLY,CRITICAL,Derived from reconciled PASS A implementation-depth evidence.
CAP-061,Office Integration,Download,PASS A feature record: Download; logic=trial license gen; admin=optional auth; tests=no.,Download.tsx:426,yes multiple — Download.tsx:426,logic=trial license gen,db=yes,admin/guard=optional auth,L3_PARTIAL_FLOW,L3_PARTIAL_FLOW,CRITICAL,Derived from reconciled PASS A implementation-depth evidence.
CAP-062,Properties,Estates,PASS A feature record: Estates; logic=listings + auctions; admin=no; tests=no.,Estates.tsx:416,yes multiple — Estates.tsx:416,logic=listings + auctions,db=yes,admin/guard=no,L3_PARTIAL_FLOW,L3_PARTIAL_FLOW,CRITICAL,Derived from reconciled PASS A implementation-depth evidence.
CAP-063,UX,FreeResources,PASS A feature record: FreeResources; logic=download + block; admin=no (admin for upload); tests=no.,FreeResources.tsx:457,yes GET+DELETE — FreeResources.tsx:457,logic=download + block,db=yes,admin/guard=no (admin for upload),L3_PARTIAL_FLOW,L3_PARTIAL_FLOW,MAJOR,Derived from reconciled PASS A implementation-depth evidence.
CAP-064,UX,Home,PASS A feature record: Home; logic=hero slideshow + featured; admin=no; tests=no.,Home.tsx:186,yes GET — Home.tsx:186,logic=hero slideshow + featured,db=yes,admin/guard=no,L3_PARTIAL_FLOW,L3_PARTIAL_FLOW,MAJOR,Derived from reconciled PASS A implementation-depth evidence.
CAP-065,Chat,InboxPage,PASS A feature record: InboxPage; logic=no; admin=no; tests=no.,InboxPage.tsx:16,no (delegates) — InboxPage.tsx:16,logic=no,db=no,admin/guard=no,L1_UI_ONLY,L1_UI_ONLY,CRITICAL,Derived from reconciled PASS A implementation-depth evidence.
CAP-066,Office Integration,InvestmentRadar,PASS A feature record: InvestmentRadar; logic=city scoring + radar; admin=no; tests=no.,InvestmentRadar.tsx:473,yes GET — InvestmentRadar.tsx:473,logic=city scoring + radar,db=yes,admin/guard=no,L3_PARTIAL_FLOW,L3_PARTIAL_FLOW,CRITICAL,Derived from reconciled PASS A implementation-depth evidence.
CAP-067,UX,JoinFounders,PASS A feature record: JoinFounders; logic=registration form; admin=no; tests=no.,JoinFounders.tsx:420,yes POST — JoinFounders.tsx:420,logic=registration form,db=yes,admin/guard=no,L4_END_TO_END_WIRED,L4_END_TO_END_WIRED,MAJOR,Derived from reconciled PASS A implementation-depth evidence.
CAP-068,Organizations,LandingCorporates,PASS A feature record: LandingCorporates; logic=no; admin=no; tests=no.,LandingCorporates.tsx:147,no — LandingCorporates.tsx:147,logic=no,db=no,admin/guard=no,L1_UI_ONLY,L1_UI_ONLY,MAJOR,Derived from reconciled PASS A implementation-depth evidence.
CAP-069,Organizations,LandingOffices,PASS A feature record: LandingOffices; logic=no; admin=no; tests=no.,LandingOffices.tsx:202,no — LandingOffices.tsx:202,logic=no,db=no,admin/guard=no,L1_UI_ONLY,L1_UI_ONLY,MAJOR,Derived from reconciled PASS A implementation-depth evidence.
CAP-070,Geography,LandingProfessionals,PASS A feature record: LandingProfessionals; logic=no; admin=no; tests=no.,LandingProfessionals.tsx:147,no — LandingProfessionals.tsx:147,logic=no,db=no,admin/guard=no,L1_UI_ONLY,L1_UI_ONLY,MAJOR,Derived from reconciled PASS A implementation-depth evidence.
CAP-071,Identity,Login,PASS A feature record: Login; logic=no; admin=no; tests=no.,Login.tsx:117,no (delegates) — Login.tsx:117,logic=no,db=no,admin/guard=no,L1_UI_ONLY,L1_UI_ONLY,CRITICAL,Derived from reconciled PASS A implementation-depth evidence.
CAP-072,UX,MarketHistory,PASS A feature record: MarketHistory; logic=charts + PDF; admin=no; tests=no.,MarketHistory.tsx:278,yes GET — MarketHistory.tsx:278,logic=charts + PDF,db=yes,admin/guard=no,L3_PARTIAL_FLOW,L3_PARTIAL_FLOW,MAJOR,Derived from reconciled PASS A implementation-depth evidence.
CAP-073,Chat,Messages,PASS A feature record: Messages; logic=no; admin=no; tests=no.,Messages.tsx:21,no (delegates) — Messages.tsx:21,logic=no,db=no,admin/guard=no,L1_UI_ONLY,L1_UI_ONLY,CRITICAL,Derived from reconciled PASS A implementation-depth evidence.
CAP-074,Authorization,ModeratorPanel,PASS A feature record: ModeratorPanel; logic=property approval; admin=moderator role; tests=no.,ModeratorPanel.tsx:148,yes GET+POST — ModeratorPanel.tsx:148,logic=property approval,db=yes,admin/guard=moderator role,L4_END_TO_END_WIRED,L4_END_TO_END_WIRED,CRITICAL,Derived from reconciled PASS A implementation-depth evidence.
CAP-075,UX,MyCompanies,PASS A feature record: MyCompanies; logic=company mgmt; admin=token; tests=no.,MyCompanies.tsx:123,yes context — MyCompanies.tsx:123,logic=company mgmt,db=yes,admin/guard=token,L3_PARTIAL_FLOW,L3_PARTIAL_FLOW,MAJOR,Derived from reconciled PASS A implementation-depth evidence.
CAP-076,Properties,MyPropertyRequests,PASS A feature record: MyPropertyRequests; logic=request + offer mgmt; admin=token; tests=no.,MyPropertyRequests.tsx:189,yes GET+POST — MyPropertyRequests.tsx:189,logic=request + offer mgmt,db=yes,admin/guard=token,L4_END_TO_END_WIRED,L4_END_TO_END_WIRED,CRITICAL,Derived from reconciled PASS A implementation-depth evidence.
CAP-077,Services,MyServiceDashboard,PASS A feature record: MyServiceDashboard; logic=service CRUD; admin=token; tests=no.,MyServiceDashboard.tsx:475,yes CRUD — MyServiceDashboard.tsx:475,logic=service CRUD,db=yes,admin/guard=token,L4_END_TO_END_WIRED,L4_END_TO_END_WIRED,CRITICAL,Derived from reconciled PASS A implementation-depth evidence.
CAP-078,UX,not-found,PASS A feature record: not-found; logic=no; admin=no; tests=no.,not-found.tsx:26,no — not-found.tsx:26,logic=no,db=no,admin/guard=no,L1_UI_ONLY,L1_UI_ONLY,MAJOR,Derived from reconciled PASS A implementation-depth evidence.
CAP-079,Organizations,OfficeDetail,PASS A feature record: OfficeDetail; logic=office profile; admin=no; tests=no.,OfficeDetail.tsx:254,yes GET — OfficeDetail.tsx:254,logic=office profile,db=yes,admin/guard=no,L3_PARTIAL_FLOW,L3_PARTIAL_FLOW,MAJOR,Derived from reconciled PASS A implementation-depth evidence.
CAP-080,Organizations,OfficeRequests,PASS A feature record: OfficeRequests; logic=request + offer mgmt; admin=token; tests=no.,OfficeRequests.tsx:183,yes multiple — OfficeRequests.tsx:183,logic=request + offer mgmt,db=yes,admin/guard=token,L4_END_TO_END_WIRED,L4_END_TO_END_WIRED,MAJOR,Derived from reconciled PASS A implementation-depth evidence.
CAP-081,Organizations,Offices,PASS A feature record: Offices; logic=favorites + compare; admin=no; tests=no.,Offices.tsx:384,yes GET — Offices.tsx:384,logic=favorites + compare,db=yes,admin/guard=no,L3_PARTIAL_FLOW,L3_PARTIAL_FLOW,MAJOR,Derived from reconciled PASS A implementation-depth evidence.
