Capability_ID,Domain,Capability,V1_Status,Current_Status,Parity_Result,V1_Evidence,Current_Evidence,Runtime_Evidence,Severity,Launch_Blocker,Recommended_Action,Notes
CAP-015,Admin,AdminFreeResources,L3_PARTIAL_FLOW,STATIC_EVIDENCE_ONLY,NEEDS_RUNTIME_PROOF,AdminFreeResources.tsx:196,lib/news/rss.ts; lib/mysql-runtime.ts; src/types/sponsor.ts; lib/content-schema.ts,Runtime: admin endpoints reject unauthenticated requests; no authorized admin session was available.,P1,NO,Provide controlled fixtures and execute the full capability chain in PASS B runtime continuation.,"Static candidates exist, but the complete V1 chain was not exercised."
CAP-016,Office Integration,AdminLicenseKeys,L4_END_TO_END_WIRED,STATIC_EVIDENCE_ONLY,NEEDS_RUNTIME_PROOF,AdminLicenseKeys.tsx:560,lib/i18n/keys.ts; app/api/i18n/admin/keys/route.ts; lib/i18n/db.ts; lib/db/schema.ts,"Runtime: unauthenticated /api/office/v1/sync=401; pairing, device auth, sync, stream, and retry require a provisioned device.",P1,NO,Provide controlled fixtures and execute the full capability chain in PASS B runtime continuation.,"Static candidates exist, but the complete V1 chain was not exercised."
CAP-017,Admin,AdminLookups,L1_UI_ONLY,NOT_ESTABLISHED,NEEDS_RUNTIME_PROOF,AdminLookups.tsx:451,No reliable current equivalent located,Runtime: admin endpoints reject unauthenticated requests; no authorized admin session was available.,P1,NO,Provide controlled fixtures and execute the full capability chain in PASS B runtime continuation.,No reliable equivalent was established; retained as unknown rather than declaring LOST without direct proof.
CAP-018,Admin,AdminMarketRates,L4_END_TO_END_WIRED,STATIC_EVIDENCE_ONLY,NEEDS_RUNTIME_PROOF,AdminMarketRates.tsx:308,lib/market/market-scope.ts; lib/services/marketplace.ts; lib/services/seed-marketplace.ts; lib/services-marketplace-schema.ts,Runtime: admin endpoints reject unauthenticated requests; no authorized admin session was available.,P1,NO,Provide controlled fixtures and execute the full capability chain in PASS B runtime continuation.,"Static candidates exist, but the complete V1 chain was not exercised."
CAP-019,Authorization,AdminModerators,L4_END_TO_END_WIRED,STATIC_EVIDENCE_ONLY,NEEDS_RUNTIME_PROOF,AdminModerators.tsx:681,app/api/admin/moderators/route.ts; app/admin/roles-admin-client.tsx,Runtime: unauthenticated /api/admin/stats=403 and /api/admin/roles=401; privileged positive path not tested.,P1,NO,Provide controlled fixtures and execute the full capability chain in PASS B runtime continuation.,"Static candidates exist, but the complete V1 chain was not exercised."
CAP-020,Admin,AdminNewsTicker,L4_END_TO_END_WIRED,STATIC_EVIDENCE_ONLY,NEEDS_RUNTIME_PROOF,AdminNewsTicker.tsx:422,src/components/NewsTicker.tsx; components/advertising/placements/NewsTicker.tsx; app/admin/advertising/news-ticker/page.tsx; lib/integration/news.ts,Runtime: admin endpoints reject unauthenticated requests; no authorized admin session was available.,P1,NO,Provide controlled fixtures and execute the full capability chain in PASS B runtime continuation.,"Static candidates exist, but the complete V1 chain was not exercised."
CAP-021,Notifications,AdminNotifications,L1_UI_ONLY,STATIC_EVIDENCE_ONLY,NEEDS_RUNTIME_PROOF,AdminNotifications.tsx:267,lib/integration/notifications.ts; app/api/service-notifications/route.ts; app/api/office/v1/notifications/route.ts; app/dashboard/office/notifications/page.tsx,Service notification routes exist; no authenticated delivery/read/bulk-read runtime test performed.,P2,NO,Provide controlled fixtures and execute the full capability chain in PASS B runtime continuation.,"Static candidates exist, but the complete V1 chain was not exercised."
CAP-022,Admin,AdminPayments,L4_END_TO_END_WIRED,NOT_ESTABLISHED,NEEDS_RUNTIME_PROOF,AdminPayments.tsx:330,No reliable current equivalent located,Runtime: admin endpoints reject unauthenticated requests; no authorized admin session was available.,P1,NO,Provide controlled fixtures and execute the full capability chain in PASS B runtime continuation.,No reliable equivalent was established; retained as unknown rather than declaring LOST without direct proof.
CAP-023,Membership,AdminPlans,L3_PARTIAL_FLOW,STATIC_EVIDENCE_ONLY,NEEDS_RUNTIME_PROOF,AdminPlans.tsx:469,lib/mysql-runtime.ts; lib/content-schema.ts; app/api/admin/stats/route.ts; app/admin/dashboard-admin-client.tsx,No authenticated plan/promo/license lifecycle test performed.,P2,NO,Provide controlled fixtures and execute the full capability chain in PASS B runtime continuation.,"Static candidates exist, but the complete V1 chain was not exercised."
CAP-024,Properties,AdminProperties,L3_PARTIAL_FLOW,STATIC_EVIDENCE_ONLY,NEEDS_RUNTIME_PROOF,AdminProperties.tsx:401,hooks/useProperties.ts; lib/properties-format.ts; lib/properties-schema.ts; src/data/demo-properties.ts,"Runtime: /properties=200, GET /api/properties?limit=1=200, GET /api/properties/search?limit=1=200; authenticated mutations not tested.",P1,NO,Provide controlled fixtures and execute the full capability chain in PASS B runtime continuation.,"Static candidates exist, but the complete V1 chain was not exercised."
CAP-025,Auctions,AdminRelistMonitoring,L4_END_TO_END_WIRED,NOT_ESTABLISHED,LOST,AdminRelistMonitoring.tsx:386,No reliable current equivalent located,Runtime: /auctions=200 and /api/auctions?limit=1=200 with zero rows; bidding/closing/contract lifecycle not executable without fixtures.,P1,NO,Restore or formally defer in PASS C.,No suspicious-relist review surface or model found.
CAP-026,Admin,AdminReports,L1_UI_ONLY,STATIC_EVIDENCE_ONLY,NEEDS_RUNTIME_PROOF,AdminReports.tsx:373,app/admin/reports-admin-client.tsx; app/admin/reports/page.tsx; app/api/service-reports/route.ts; app/api/service-reports/[id]/resolve/route.ts,Runtime: admin endpoints reject unauthenticated requests; no authorized admin session was available.,P1,NO,Provide controlled fixtures and execute the full capability chain in PASS B runtime continuation.,"Static candidates exist, but the complete V1 chain was not exercised."
CAP-027,Admin,AdminSEO,L1_UI_ONLY,NOT_ESTABLISHED,NEEDS_RUNTIME_PROOF,AdminSEO.tsx:608,No reliable current equivalent located,Runtime: admin endpoints reject unauthenticated requests; no authorized admin session was available.,P1,NO,Provide controlled fixtures and execute the full capability chain in PASS B runtime continuation.,No reliable equivalent was established; retained as unknown rather than declaring LOST without direct proof.
CAP-028,Services,AdminServiceMarket,L4_END_TO_END_WIRED,RUNTIME_CERTIFIED,IMPROVED,AdminServiceMarket.tsx:425,lib/services/booking.ts; lib/services/marketplace.ts; app/api/service-bookings/*; app/api/service-requests/*; app/api/service-offers/*,"PASS C.S.1B production 3014: independent Direct Booking and RFQ both completed through review; privacy and role matrix passed; fresh PostgreSQL lifecycle passed.",P1,NO,Retain certification evidence and regression-test.,"Current market preserves RFQ and adds an independent price-snapshotted Direct Booking domain with stronger authorization/privacy."
CAP-029,Services,AdminServiceReviews,L4_END_TO_END_WIRED,RUNTIME_CERTIFIED,IMPROVED,AdminServiceReviews.tsx:307,app/api/service-reviews/route.ts; app/api/service-bookings/[id]/review/route.ts; app/api/service-jobs/[id]/review/route.ts; lib/services/public-dto.ts,"PASS C.S.1B production 3014: Direct Booking and RFQ reviews created after completion; provider rating became 4.5/2; public review JSON leaked no participant identities.",P1,NO,Retain certification evidence and regression-test.,"Review lifecycle is preserved with fail-closed public DTOs and customer-only Direct Booking review enforcement."
CAP-030,Admin,AdminSettings,L1_UI_ONLY,STATIC_EVIDENCE_ONLY,NEEDS_RUNTIME_PROOF,AdminSettings.tsx:509,app/admin/settings-admin-client.tsx; app/admin/settings/page.tsx; app/api/service-marketplace-settings/route.ts; app/services/page.tsx,Runtime: admin endpoints reject unauthenticated requests; no authorized admin session was available.,P1,NO,Provide controlled fixtures and execute the full capability chain in PASS B runtime continuation.,"Static candidates exist, but the complete V1 chain was not exercised."
CAP-031,Office Integration,AdminSoftwareLicenses,L4_END_TO_END_WIRED,STATIC_EVIDENCE_ONLY,NEEDS_RUNTIME_PROOF,AdminSoftwareLicenses.tsx:205,lib/amrs/profiles.ts; src/data/translations.ts; app/knowledge/new/page.tsx; src/content/legal-center.ts,"Runtime: unauthenticated /api/office/v1/sync=401; pairing, device auth, sync, stream, and retry require a provisioned device.",P1,NO,Provide controlled fixtures and execute the full capability chain in PASS B runtime continuation.,"Static candidates exist, but the complete V1 chain was not exercised."
CAP-032,Services,AdminTenders,L3_PARTIAL_FLOW,RUNTIME_CERTIFIED,IMPROVED,AdminTenders.tsx:103,app/api/service-requests/*; app/api/service-offers/*; app/api/service-jobs/*,"PASS C.S.1B production 3014: RFQ request publish → matching → provider offer → customer selection → order → completion → review passed with Moderator/Admin visibility controls.",P1,NO,Retain certification evidence and regression-test.,"The canonical RFQ domain now proves the competitive request/offer lifecycle that was previously unestablished."
CAP-033,Admin,AdminTickets,L1_UI_ONLY,NOT_ESTABLISHED,NEEDS_RUNTIME_PROOF,AdminTickets.tsx:424,No reliable current equivalent located,Runtime: admin endpoints reject unauthenticated requests; no authorized admin session was available.,P1,NO,Provide controlled fixtures and execute the full capability chain in PASS B runtime continuation.,No reliable equivalent was established; retained as unknown rather than declaring LOST without direct proof.
CAP-034,Identity,AdminUsers,L3_PARTIAL_FLOW,STATIC_EVIDENCE_ONLY,NEEDS_RUNTIME_PROOF,AdminUsers.tsx:1049,app/admin/users-admin-client.tsx; app/admin/users/page.tsx; app/api/advertiser-users/route.ts; lib/db/schema.ts,"Runtime: /login=200, /register=200, unauthenticated /api/auth/me=401; no authenticated lifecycle tested.",P1,NO,Provide controlled fixtures and execute the full capability chain in PASS B runtime continuation.,"Static candidates exist, but the complete V1 chain was not exercised."
CAP-035,Identity,AdminUsersPage,V1_STUB,STATIC_EVIDENCE_ONLY,V1_STUB,Empty 0-byte file,app/admin/users-admin-client.tsx; lib/amrs/profiles.ts; lib/amrs/workspace-profile-api.ts; lib/amrs/contracts/profile-strength.ts,"Runtime: /login=200, /register=200, unauthenticated /api/auth/me=401; no authenticated lifecycle tested.",P4,NO,Retain evidence and regression-test.,V1 evidence identifies a zero-byte/idea-only feature.
CAP-036,Admin,AdminVerification,L4_END_TO_END_WIRED,STATIC_EVIDENCE_ONLY,NEEDS_RUNTIME_PROOF,AdminVerification.tsx:197,lib/db/verification.ts; lib/amrs/verification.ts; lib/auth/verification.ts; lib/auth/verification-actions.ts,Runtime: admin endpoints reject unauthenticated requests; no authorized admin session was available.,P1,NO,Provide controlled fixtures and execute the full capability chain in PASS B runtime continuation.,"Static candidates exist, but the complete V1 chain was not exercised."
CAP-037,UX,About,L1_UI_ONLY,STATIC_EVIDENCE_ONLY,NEEDS_RUNTIME_PROOF,About.tsx:283,app/about/page.tsx; src/data/translations.ts; app/providers/[id]/page.tsx; src/constants/advertising.ts,"Runtime public routes /, /properties, /services, /auctions, /tools, /offices returned 200; no full visual/device matrix was run in PASS B.",P2,NO,Provide controlled fixtures and execute the full capability chain in PASS B runtime continuation.,"Static candidates exist, but the complete V1 chain was not exercised."
CAP-038,Ads,Advertise,L1_UI_ONLY,STATIC_EVIDENCE_ONLY,NEEDS_RUNTIME_PROOF,Advertise.tsx:373,src/types/advertiser.ts; app/admin/advertisers/advertiser-admin-client.tsx; app/admin/advertisers/_components/NewAdvertiserForm.tsx; app/admin/advertisers/_components/EditAdvertiserForm.tsx,Runtime: POST /api/ads/match with global_header/home/SA returned 200 and a matched creative; legacy GET /api/advertising/match returned 500.,P1,NO,Provide controlled fixtures and execute the full capability chain in PASS B runtime continuation.,"Static candidates exist, but the complete V1 chain was not exercised."
CAP-039,Tools,ArchitecturalConsultant,L4_END_TO_END_WIRED,STATIC_EVIDENCE_ONLY,NEEDS_RUNTIME_PROOF,ArchitecturalConsultant.tsx:2384,lib/services/seed-marketplace.ts,Runtime: /tools=200; individual upload/process/download workflows were not executed.,P2,NO,Provide controlled fixtures and execute the full capability chain in PASS B runtime continuation.,"Static candidates exist, but the complete V1 chain was not exercised."
CAP-040,Services,ArtisanDashboard,L4_END_TO_END_WIRED,RUNTIME_CERTIFIED,PRESERVED,ArtisanDashboard.tsx:399,src/components/services/ServiceDashboardShell.tsx; app/dashboard/services/*; app/api/service-jobs/*,"PASS C.S.1B production 3014: Provider A received and advanced Direct Booking and RFQ jobs; Provider B access was 403; notifications were delivered.",P1,NO,Retain certification evidence and regression-test.,"Provider workspace and participant-separated job lifecycle are runtime-proven."
CAP-041,Auctions,AuctionDetail,L4_END_TO_END_WIRED,STATIC_EVIDENCE_ONLY,NEEDS_RUNTIME_PROOF,AuctionDetail.tsx:410,lib/db/schemas/auctions-schema.ts; lib/db/schemas/limited-auction-schema.ts; src/components/land/LandDetailClient.tsx; lib/db/schemas/auction-hardening-schema.ts,Runtime: /auctions=200 and /api/auctions?limit=1=200 with zero rows; bidding/closing/contract lifecycle not executable without fixtures.,P1,NO,Provide controlled fixtures and execute the full capability chain in PASS B runtime continuation.,"Static candidates exist, but the complete V1 chain was not exercised."
CAP-042,Auctions,AuctionFAQ,L1_UI_ONLY,STATIC_EVIDENCE_ONLY,NEEDS_RUNTIME_PROOF,AuctionFAQ.tsx:162,lib/db/schemas/auctions-schema.ts; lib/db/schemas/limited-auction-schema.ts; lib/db/schemas/auction-hardening-schema.ts; app/admin/auction-organizers/auction-organizers-client.tsx,Runtime: /auctions=200 and /api/auctions?limit=1=200 with zero rows; bidding/closing/contract lifecycle not executable without fixtures.,P1,NO,Provide controlled fixtures and execute the full capability chain in PASS B runtime continuation.,"Static candidates exist, but the complete V1 chain was not exercised."
CAP-043,Auctions,AuctionHistory,L3_PARTIAL_FLOW,STATIC_EVIDENCE_ONLY,NEEDS_RUNTIME_PROOF,AuctionHistory.tsx:173,lib/db/schemas/auctions-schema.ts; lib/db/schemas/limited-auction-schema.ts; lib/db/schemas/auction-hardening-schema.ts; app/admin/auction-organizers/auction-organizers-client.tsx,Runtime: /auctions=200 and /api/auctions?limit=1=200 with zero rows; bidding/closing/contract lifecycle not executable without fixtures.,P1,NO,Provide controlled fixtures and execute the full capability chain in PASS B runtime continuation.,"Static candidates exist, but the complete V1 chain was not exercised."
CAP-044,Auctions,Auctions,L3_PARTIAL_FLOW,STATIC_EVIDENCE_ONLY,NEEDS_RUNTIME_PROOF,Auctions.tsx:196,lib/db/schemas/auctions-schema.ts; app/auctions/page.tsx; lib/auctions/policy.ts; app/api/auctions/route.ts,Runtime: /auctions=200 and /api/auctions?limit=1=200 with zero rows; bidding/closing/contract lifecycle not executable without fixtures.,P1,NO,Provide controlled fixtures and execute the full capability chain in PASS B runtime continuation.,"Static candidates exist, but the complete V1 chain was not exercised."
CAP-045,Auctions,AuctionStats,L3_PARTIAL_FLOW,STATIC_EVIDENCE_ONLY,NEEDS_RUNTIME_PROOF,AuctionStats.tsx:183,lib/db/schemas/auctions-schema.ts; lib/db/schemas/limited-auction-schema.ts; lib/db/schemas/auction-hardening-schema.ts; app/admin/auction-organizers/auction-organizers-client.tsx,Runtime: /auctions=200 and /api/auctions?limit=1=200 with zero rows; bidding/closing/contract lifecycle not executable without fixtures.,P1,NO,Provide controlled fixtures and execute the full capability chain in PASS B runtime continuation.,"Static candidates exist, but the complete V1 chain was not exercised."
CAP-046,Auctions,AuctionTerms,L1_UI_ONLY,STATIC_EVIDENCE_ONLY,NEEDS_RUNTIME_PROOF,AuctionTerms.tsx:205,app/api/auctions/[id]/terms/route.ts; lib/db/schemas/auctions-schema.ts; lib/db/schemas/limited-auction-schema.ts; lib/db/schemas/auction-hardening-schema.ts,Runtime: /auctions=200 and /api/auctions?limit=1=200 with zero rows; bidding/closing/contract lifecycle not executable without fixtures.,P1,NO,Provide controlled fixtures and execute the full capability chain in PASS B runtime continuation.,"Static candidates exist, but the complete V1 chain was not exercised."
CAP-047,UX,Blog,L3_PARTIAL_FLOW,STATIC_EVIDENCE_ONLY,NEEDS_RUNTIME_PROOF,Blog.tsx:199,src/data/translations.ts,"Runtime public routes /, /properties, /services, /auctions, /tools, /offices returned 200; no full visual/device matrix was run in PASS B.",P2,NO,Provide controlled fixtures and execute the full capability chain in PASS B runtime continuation.,"Static candidates exist, but the complete V1 chain was not exercised."
CAP-048,UX,BlogPostDetail,L3_PARTIAL_FLOW,STATIC_EVIDENCE_ONLY,NEEDS_RUNTIME_PROOF,BlogPostDetail.tsx:257,src/components/land/LandDetailClient.tsx; app/admin/advertisers/_components/AdvertiserDetailView.tsx; app/api/community/topics/[id]/posts/route.ts; app/api/auth/login/route.ts,"Runtime public routes /, /properties, /services, /auctions, /tools, /offices returned 200; no full visual/device matrix was run in PASS B.",P2,NO,Provide controlled fixtures and execute the full capability chain in PASS B runtime continuation.,"Static candidates exist, but the complete V1 chain was not exercised."
CAP-049,Office Integration,BuyLicense,L4_END_TO_END_WIRED,STATIC_EVIDENCE_ONLY,NEEDS_RUNTIME_PROOF,BuyLicense.tsx:482,lib/db/schema.ts; app/services/page.tsx; lib/auctions/policy.ts; lib/amrs/verification.ts,"Runtime: unauthenticated /api/office/v1/sync=401; pairing, device auth, sync, stream, and retry require a provisioned device.",P1,NO,Provide controlled fixtures and execute the full capability chain in PASS B runtime continuation.,"Static candidates exist, but the complete V1 chain was not exercised."
CAP-050,UX,ConsultantDashboard,L1_UI_ONLY,STATIC_EVIDENCE_ONLY,NEEDS_RUNTIME_PROOF,ConsultantDashboard.tsx:463,app/admin/dashboard-admin-client.tsx; src/components/services/ServiceDashboardShell.tsx; app/dashboard/page.tsx; app/dashboard/office/page.tsx,"Runtime public routes /, /properties, /services, /auctions, /tools, /offices returned 200; no full visual/device matrix was run in PASS B.",P2,NO,Provide controlled fixtures and execute the full capability chain in PASS B runtime continuation.,"Static candidates exist, but the complete V1 chain was not exercised."
CAP-051,UX,Contact,L1_UI_ONLY,STATIC_EVIDENCE_ONLY,NEEDS_RUNTIME_PROOF,Contact.tsx:124,app/contact/page.tsx; app/api/contact/route.ts; lib/amrs/profiles.ts; lib/email/templates.ts,"Runtime public routes /, /properties, /services, /auctions, /tools, /offices returned 200; no full visual/device matrix was run in PASS B.",P2,NO,Provide controlled fixtures and execute the full capability chain in PASS B runtime continuation.,"Static candidates exist, but the complete V1 chain was not exercised."
CAP-052,Organizations,CreateCompany,L3_PARTIAL_FLOW,STATIC_EVIDENCE_ONLY,NEEDS_RUNTIME_PROOF,CreateCompany.tsx:97,lib/company-schema.ts; components/company/CompanyCard.tsx; src/components/company/CompanyWorkspaceShell.tsx; app/api/admin/companies/taxonomy/create/route.ts,Runtime: /offices=200 and /api/offices=200; authenticated organization lifecycle not tested.,P2,NO,Provide controlled fixtures and execute the full capability chain in PASS B runtime continuation.,"Static candidates exist, but the complete V1 chain was not exercised."
CAP-053,UX,Dashboard,L4_END_TO_END_WIRED,STATIC_EVIDENCE_ONLY,NEEDS_RUNTIME_PROOF,Dashboard.tsx:487,app/admin/dashboard-admin-client.tsx; src/components/services/ServiceDashboardShell.tsx; app/dashboard/page.tsx; app/dashboard/office/page.tsx,"Runtime public routes /, /properties, /services, /auctions, /tools, /offices returned 200; no full visual/device matrix was run in PASS B.",P2,NO,Provide controlled fixtures and execute the full capability chain in PASS B runtime continuation.,"Static candidates exist, but the complete V1 chain was not exercised."
CAP-054,Auctions,DashboardAuctions,L4_END_TO_END_WIRED,STATIC_EVIDENCE_ONLY,NEEDS_RUNTIME_PROOF,DashboardAuctions.tsx:264,app/dashboard/auctions/page.tsx; app/dashboard/auctions/new/page.tsx; lib/db/schemas/auctions-schema.ts; app/admin/dashboard-admin-client.tsx,Runtime: /auctions=200 and /api/auctions?limit=1=200 with zero rows; bidding/closing/contract lifecycle not executable without fixtures.,P1,NO,Provide controlled fixtures and execute the full capability chain in PASS B runtime continuation.,"Static candidates exist, but the complete V1 chain was not exercised."
CAP-055,Auctions,DashboardBids,L3_PARTIAL_FLOW,STATIC_EVIDENCE_ONLY,NEEDS_RUNTIME_PROOF,DashboardBids.tsx:194,app/admin/dashboard-admin-client.tsx; src/components/services/ServiceDashboardShell.tsx; app/dashboard/page.tsx; app/dashboard/office/page.tsx,Runtime: /auctions=200 and /api/auctions?limit=1=200 with zero rows; bidding/closing/contract lifecycle not executable without fixtures.,P1,NO,Provide controlled fixtures and execute the full capability chain in PASS B runtime continuation.,"Static candidates exist, but the complete V1 chain was not exercised."
CAP-056,UX,DashboardPage,V1_STUB,STATIC_EVIDENCE_ONLY,V1_STUB,Empty 0-byte file,app/admin/dashboard-admin-client.tsx; app/dashboard/office/profile/page.tsx; app/dashboard/company/profile/page.tsx; app/dashboard/services/provider-profile/page.tsx,"Runtime public routes /, /properties, /services, /auctions, /tools, /offices returned 200; no full visual/device matrix was run in PASS B.",P4,NO,Retain evidence and regression-test.,V1 evidence identifies a zero-byte/idea-only feature.
CAP-057,Identity,DashboardProfile,L3_PARTIAL_FLOW,STATIC_EVIDENCE_ONLY,NEEDS_RUNTIME_PROOF,DashboardProfile.tsx:194,app/dashboard/office/profile/page.tsx; app/dashboard/company/profile/page.tsx; app/dashboard/services/provider-profile/page.tsx; lib/amrs/profiles.ts,"Runtime: /login=200, /register=200, unauthenticated /api/auth/me=401; no authenticated lifecycle tested.",P1,NO,Provide controlled fixtures and execute the full capability chain in PASS B runtime continuation.,"Static candidates exist, but the complete V1 chain was not exercised."
CAP-058,Services,DashboardTenderBids,L3_PARTIAL_FLOW,RUNTIME_CERTIFIED,IMPROVED,DashboardTenderBids.tsx:94,app/dashboard/services/offers/*; app/api/service-offers/*,"PASS C.S.1B production 3014: matched provider created a real RFQ offer; another customer was denied; owning customer accepted it and created an RFQ order.",P1,NO,Retain certification evidence and regression-test.,"Canonical offers provide a complete authenticated bidding path beyond the V1 partial evidence."
CAP-059,Services,DashboardTenders,L4_END_TO_END_WIRED,RUNTIME_CERTIFIED,PRESERVED,DashboardTenders.tsx:126,app/dashboard/services/my-requests/*; app/dashboard/services/matched-requests/*; app/api/service-requests/*,"PASS C.S.1B production 3014: customer and provider RFQ workspaces completed the full publish/match/offer/order lifecycle.",P1,NO,Retain certification evidence and regression-test.,"Tender/RFQ dashboard behavior is preserved through the canonical request/offer workspaces."
