feature_id,source_generation,domain,feature,subfeature,v1_depth,v1_status,old_status,current_status,office_status,ui_status,api_status,db_status,authorization_status,realtime_status,notification_status,test_status,decision,priority,target_phase,regression_risk,v1_evidence,old_evidence,current_evidence,office_evidence,notes
AUTH-018,ROUND-1 (V2 lineage),A,Login,Email or phone + password,NOT ASSESSED IN ROUND 1,NOT ASSESSED IN ROUND 1,FULL,FULL,REFERENCE ONLY (local-only login),OK,OK,users,rate limit + origin,none,none,tests/auth-phase4.test.mjs,KEEP,P0,Phase 1,Low,not assessed in round 1,hist/old-tag/app/api/auth/login/route.ts:29-90,app/api/auth/login/route.ts:34-181; app/login/page.tsx,"inv/dll_strings.txt AkarApp.Views.LoginView, PasswordHash",Identifier is auto-split on @; bcrypt verify || admin: none
AUTH-019,ROUND-1 (V2 lineage),A,Login,Account-state gating,NOT ASSESSED IN ROUND 1,NOT ASSESSED IN ROUND 1,PARTIAL,BETTER THAN OLD,REFERENCE ONLY,error surfaced,OK,"users.status, users.is_active",enforced,none,none,tests/auth-core.test.ts (NOT in npm test),KEEP,P0,Phase 1,Low,not assessed in round 1,hist/old-tag/app/api/auth/login/route.ts:67-69 (only isActive),lib/auth/access-control.ts:4-37; app/api/auth/login/route.ts:122-136,Users.IsActive (AkarDB.sqlite),Blocks login for pending_verification/disabled/suspended/deleted/is_active=false with a typed reason || admin: none
AUTH-020,ROUND-1 (V2 lineage),A,Login,last_login_at,NOT ASSESSED IN ROUND 1,NOT ASSESSED IN ROUND 1,MISSING,FULL,NOT APPLICABLE,not shown,OK,users.last_login_at,n/a,none,none,NONE,KEEP,P3,Phase 2,Low,not assessed in round 1,none found,app/api/auth/login/route.ts:140-147,none,Best-effort update after successful login || admin: none
AUTH-021,ROUND-1 (V2 lineage),A,Logout,Session teardown,NOT ASSESSED IN ROUND 1,NOT ASSESSED IN ROUND 1,PARTIAL,BETTER THAN OLD,NOT APPLICABLE,header menu,OK,session_revocations lib/db/schema.ts:75-86,origin-guarded,none,none,tests/session.test.mjs (NOT in npm test),KEEP,P0,Phase 1,Low,not assessed in round 1,hist/old-tag/app/api/auth/logout/route.ts,app/api/auth/logout/route.ts:15-41; lib/auth/session.ts:229-241,none,"Deletes cookie, revokes jti in memory and in PG || admin: none"
AUTH-022,ROUND-1 (V2 lineage),A,Sessions,Cookie policy,NOT ASSESSED IN ROUND 1,NOT ASSESSED IN ROUND 1,FULL,FULL,NOT APPLICABLE,n/a,OK,stateless JWT,signed,none,none,tests/session.test.mjs (NOT in npm test),KEEP,P0,Phase 1,Low,not assessed in round 1,hist/old-tag/lib/auth/session.ts,"lib/auth/session.ts:11-12,143-151,157-164",none,"akar_session, HS256 JWT, HttpOnly, SameSite=Lax, Secure in prod, 7-day maxAge || admin: none"
AUTH-023,ROUND-1 (V2 lineage),A,Sessions,Server-side revocation durability,NOT ASSESSED IN ROUND 1,NOT ASSESSED IN ROUND 1,MISSING,FULL,NOT APPLICABLE,n/a,OK,OK,enforced,none,none,tests/session.test.mjs (NOT in npm test),KEEP,P1,Phase 2,Low,not assessed in round 1,none found,lib/auth/session.ts:73-132,none,In-memory jti set is per-bundle; PG session_revocations makes it shared. No TTL sweep besides delete-on-write || admin: none
AUTH-024,ROUND-1 (V2 lineage),A,Password reset,Request,NOT ASSESSED IN ROUND 1,NOT ASSESSED IN ROUND 1,MISSING,FULL,NOT APPLICABLE,app/forgot-password/page.tsx,OK,verification_challenges,rate limit 5/min,none,email,tests/auth-phase4.test.mjs,KEEP,P0,Phase 1,Low,not assessed in round 1,none found,app/api/auth/forgot-password/route.ts:21-68; lib/auth/verification-actions.ts:135-186,none,Email-enumeration-safe; always returns sent:true || admin: none
AUTH-025,ROUND-1 (V2 lineage),A,Password reset,Apply,NOT ASSESSED IN ROUND 1,NOT ASSESSED IN ROUND 1,MISSING,PARTIAL (side effect),NOT APPLICABLE,app/reset-password/page.tsx,OK,OK,rate limit,none,password-changed email,tests/auth-phase4.test.mjs,KEEP + IMPROVE,P2,Phase 2,Med,not assessed in round 1,none found,lib/auth/verification-actions.ts:214-224; app/api/auth/reset-password/route.ts:22-75,none,"Consumes token, rehashes password — **also forces status='active' and email_verified_at**, so reset doubles as an activation bypass || admin: none"
AUTH-026,ROUND-1 (V2 lineage),A,Change password,Authenticated,NOT ASSESSED IN ROUND 1,NOT ASSESSED IN ROUND 1,MISSING,PARTIAL (old sessions stay valid),NOT APPLICABLE,app/account/security/page.tsx:43-94,OK,users.password_changed_at,session + origin,none,email,tests/auth-phase4.test.mjs,KEEP + IMPROVE,P1,Phase 2,Med,not assessed in round 1,none found,app/api/auth/change-password/route.ts:23-74; lib/auth/verification-actions.ts:347-389,none,Requires current password; 403 on mismatch; no session re-issue afterwards || admin: none
AUTH-027,ROUND-1 (V2 lineage),A,Change email,OTP-confirmed,NOT ASSESSED IN ROUND 1,NOT ASSESSED IN ROUND 1,MISSING,FULL,NOT APPLICABLE,app/account/security/page.tsx:95-142,OK,users.pending_email declared but never written,session + rate limit,none,email,tests/auth-phase4.test.mjs,KEEP,P1,Phase 2,Med,not assessed in round 1,none found,app/api/auth/change-email/route.ts:22-85; app/api/auth/verify-otp/route.ts; lib/auth/verification-actions.ts:240-345; re-key lib/services/identity.ts:44-76,none,"Issue OTP to the new address, confirm, then rewrite users.email and re-key all services rows || admin: none"
AUTH-028,ROUND-1 (V2 lineage),A,Google OAuth,Sign-in,NOT ASSESSED IN ROUND 1,NOT ASSESSED IN ROUND 1,MISSING,"BROKEN — NextResponse.redirect(new URL(""/"", ""/"")) at callback/route.ts:17,29,32 throws (invalid base) ⇒ 500 (Phase 0 verified)",NOT APPLICABLE,button present,BROKEN,"user_oauth_accounts lib/db/schema.ts:281-303, migration drizzle-pg/0015_add_user_oauth_accounts.sql (NOT in PG_IDENTITY_REQUIRED_TABLES, lib/db/pg-identity-schema.ts:5-17)",none,none,none,NONE,FIX REGRESSION,P0,Phase 1,High,not assessed in round 1,none found,"app/api/auth/google/route.ts, app/api/auth/google/callback/route.ts, lib/auth/oauth.ts:51-100,117-129,157-260; UI app/login/page.tsx:114, app/register/page.tsx:430",none,Authorize → code exchange → userinfo → find/create/link user → session || admin: none
AUTH-029,ROUND-1 (V2 lineage),A,Facebook OAuth,Sign-in,NOT ASSESSED IN ROUND 1,NOT ASSESSED IN ROUND 1,MISSING,BROKEN (same defect),NOT APPLICABLE,button present,BROKEN,same table,none,none,none,NONE,FIX REGRESSION,P0,Phase 1,High,not assessed in round 1,none found,"app/api/auth/facebook/callback/route.ts:17,28,31; lib/auth/oauth.ts:64-74,102-113,131-143",none,Same flow via Graph API v18 || admin: none
AUTH-030,ROUND-1 (V2 lineage),A,OAuth,state / CSRF + redirect base,NOT ASSESSED IN ROUND 1,NOT ASSESSED IN ROUND 1,MISSING,MISSING (security gap),NOT APPLICABLE,n/a,MISSING,n/a,none,none,none,NONE,FIX REGRESSION,P0,Phase 1,High,not assessed in round 1,none found,"lib/auth/oauth.ts:27,29-47,51-74 — no state; .env.example has GOOGLE_CLIENT_ID (108) but no NEXT_PUBLIC_BASE_URL",none,No state parameter is generated or validated; redirect_uri derives from NEXT_PUBLIC_BASE_URL which is absent from .env.example (defaults to http://localhost:3010) || admin: none
AUTH-031,ROUND-1 (V2 lineage),A,OAuth,Provider token storage,NOT ASSESSED IN ROUND 1,NOT ASSESSED IN ROUND 1,MISSING,PARTIAL (plaintext),NOT APPLICABLE,n/a,OK,plaintext,none,none,none,NONE,KEEP + IMPROVE,P1,Phase 2,High,not assessed in round 1,none found,"lib/db/schema.ts:293-295; lib/auth/oauth.ts:178-185,245-254",none,"Access/refresh tokens persisted in cleartext columns; no rotation, no revoke-on-logout || admin: none"
AUTH-032,ROUND-1 (V2 lineage),A,Dev-login,Backdoor guard,NOT ASSESSED IN ROUND 1,NOT ASSESSED IN ROUND 1,MISSING,FULL (guard only),NOT APPLICABLE,none,none,n/a,enforced,none,none,tests/dev-login.test.mjs (NOT in npm test),KEEP,P2,Phase 2,Low,not assessed in round 1,none found,lib/security/dev-login.ts:1-19,none,No dev-login route exists; a guard exists so any future bypass is refused unless NODE_ENV=development && ENABLE_DEV_LOGIN=true || admin: none
AUTH-033,ROUND-1 (V2 lineage),A,Rate limiting,Auth operations,NOT ASSESSED IN ROUND 1,NOT ASSESSED IN ROUND 1,MISSING,FULL,NOT APPLICABLE,429 surfaced,OK,n/a,enforced,none,none,tests/rate-limit.test.mjs (NOT in npm test),KEEP,P0,Phase 1,Low,not assessed in round 1,none found,lib/security/rate-limit.ts:5-39; applied in every app/api/auth/* handler,none,"Per-op limit/window/cooldown for login, register, verify, reset, change-email, OTP || admin: none"
AUTH-034,ROUND-1 (V2 lineage),A,Rate limiting,Shared store for horizontal scale,NOT ASSESSED IN ROUND 1,NOT ASSESSED IN ROUND 1,MISSING,PARTIAL,NOT APPLICABLE,n/a,n/a,none,n/a,none,none,tests/rate-limit.test.mjs (NOT in npm test),KEEP + IMPROVE,P1,Phase 2,Med,not assessed in round 1,none found,lib/security/rate-limit.ts:63-90 (MemoryRateLimitStore),none,Default store is a per-process Map; a multi-instance deploy multiplies every limit by instance count || admin: none
AUTH-035,ROUND-1 (V2 lineage),A,CSRF,Origin guard,NOT ASSESSED IN ROUND 1,NOT ASSESSED IN ROUND 1,MISSING,FULL,NOT APPLICABLE,n/a,OK,n/a,enforced,none,none,tests/origin-guard.test.mjs (NOT in npm test),KEEP,P0,Phase 1,Low,not assessed in round 1,none found,lib/security/origin.ts:45-92; called at the top of every auth route,none,State-changing requests must carry a trusted Origin; missing Origin is allowed (non-browser callers) || admin: none
AUTH-036,ROUND-1 (V2 lineage),A,CSRF,Double-submit token helper,NOT ASSESSED IN ROUND 1,NOT ASSESSED IN ROUND 1,MISSING,MISSING (dead code),NOT APPLICABLE,none,none,n/a,none,none,none,NONE,MERGE INTO NEW SYSTEM,P3,Phase 3,Low,not assessed in round 1,none found,lib/security/csrf.ts:1-14; grep: no importer,none,generateCsrfToken/validateCsrfToken exist but are imported by nothing || admin: none
AUTH-037,ROUND-1 (V2 lineage),A,Audit,Auth event persistence,NOT ASSESSED IN ROUND 1,NOT ASSESSED IN ROUND 1,PARTIAL,FULL,NOT APPLICABLE,app/admin/audit/page.tsx,OK,audit_events,ADMIN_DASHBOARD_VIEW,none,none,tests/audit-log.test.mjs (NOT in npm test),KEEP,P1,Phase 1,Low,not assessed in round 1,hist/old-tag/lib/content-schema audit_logs (D1),lib/security/audit.ts:7-119; lib/db/schema.ts:61-73,none,40+ typed event names; redaction of secret-like fields; best-effort insert into audit_events || admin: app/api/admin/audit/route.ts:39-120
AUTH-038,ROUND-1 (V2 lineage),A,Audit,Two parallel audit stores,NOT ASSESSED IN ROUND 1,NOT ASSESSED IN ROUND 1,PARTIAL,"REGRESSION (audit split, half invisible)",NOT APPLICABLE,partial,duplicated,2 tables,n/a,none,none,NONE,MERGE INTO NEW SYSTEM,P1,Phase 2,High,not assessed in round 1,hist/old-tag/lib/runtime-db.ts (audit_logs only),"lib/security/audit.ts:107 vs app/api/advertiser-access/route.ts:115-120, app/api/admin/moderators/route.ts:173-181, lib/services/audit.ts:44; reader app/api/admin/audit/route.ts:86 (audit_events only)",none,Auth writes audit_events (PG); advertiser-access / moderator-scope / services write audit_logs (runtime-D1 shim). Admin UI reads only audit_events || admin: admin sees half the trail
AUTH-039,ROUND-1 (V2 lineage),A,Permissions model,Role→permission catalog,NOT ASSESSED IN ROUND 1,NOT ASSESSED IN ROUND 1,FULL,"BETTER THAN OLD (adds service_provider, service_supervisor, ads_reviewer)",REFERENCE ONLY,read-only matrix,n/a,compile-time constant,n/a,none,none,NONE,KEEP,P0,Phase 1,Low,not assessed in round 1,"hist/old-tag/src/constants/roles.ts:22-122 (10 roles), hist/old-main/lib/sponsor-auth.ts:23-32 (8 roles, inline)",src/constants/roles.ts:11-148; src/constants/permissions.ts:1-88,"Users.Permissions pipe-string, UserRolePermissions table","12 roles × ~70 permission strings, compiled into the bundle || admin: app/admin/roles-admin-client.tsx:1-617 (read-only matrix)"
AUTH-040,ROUND-1 (V2 lineage),A,Permissions model,Permission check primitive,NOT ASSESSED IN ROUND 1,NOT ASSESSED IN ROUND 1,none,none,FULL,FULL,NOT APPLICABLE,n/a,OK,n/a,enforced,none,none,NONE,KEEP,P0,not assessed in round 1,\,"includes(""*"")",hist/old-main/lib/sponsor-auth.ts:102-104,permissions.includes(p) \ || admin: lib/rbac/check.ts:1-3; lib/identity-auth.ts:116-118
AUTH-041,ROUND-1 (V2 lineage),A,Permissions model,Duplicate permission module,NOT ASSESSED IN ROUND 1,NOT ASSESSED IN ROUND 1,PARTIAL,REGRESSION (2 coexisting models),NOT APPLICABLE,none,none,n/a,ambiguous,none,none,NONE,MERGE INTO NEW SYSTEM,P1,Phase 2,Med,not assessed in round 1,hist/old-tag/lib/rbac/permissions.ts:1-15,lib/roles/permissions.ts:1-26 (module/action shape) vs src/constants/permissions.ts (flat strings),none,"lib/roles/permissions.ts declares a second, incompatible nested-object permission model with its own hasPermission || admin: none"
AUTH-042,ROUND-1 (V2 lineage),A,Permissions model,Scoped permissions (geo/entity),NOT ASSESSED IN ROUND 1,NOT ASSESSED IN ROUND 1,PARTIAL,STUB,NOT APPLICABLE,admin tab exists,present,moderator_scopes lib/content-schema.ts:183-193,NOT ENFORCED,none,none,NONE,FIX REGRESSION,P1,Phase 2,High,not assessed in round 1,hist/old-tag/app/api/admin/... moderator scopes,src/constants/permissions.ts:92-114 (line 112-113 if (!scope) return true; return true;),none,PermissionScope/hasScopedPermission exists but the scope branch unconditionally returns true || admin: app/api/admin/moderators/route.ts writes scopes that nothing enforces
AUTH-043,ROUND-1 (V2 lineage),A,Role management,Dynamic roles from Admin (admin_roles),NOT ASSESSED IN ROUND 1,NOT ASSESSED IN ROUND 1,MISSING,"BROKEN — (a) **authz is if (!session) only, i.e. any logged-in user can create roles and assign them**; (b) no migration creates admin_roles/admin_role_assignments (absent from drizzle-pg/*.sql and lib/db/pg-identity-schema.ts:5-17); (c) nothing reads them during permission resolution",REFERENCE ONLY,matrix is static,present but non-functional,tables never created,**BROKEN**,none,none,NONE,FIX REGRESSION,P0,Phase 1,High,not assessed in round 1,none found,app/api/admin/roles/route.ts:6-32; app/api/admin/roles/assign/route.ts:39-71; lib/db/schemas/roles-schema.ts:4-23,"UserRolePermissions (per-user grant table, 0 rows)",CRUD API for DB-defined roles with JSON permission sets || admin: app/admin/roles/page.tsx:1-5 (no guard)
AUTH-044,ROUND-1 (V2 lineage),A,Role management,Role promotion from Admin,NOT ASSESSED IN ROUND 1,NOT ASSESSED IN ROUND 1,FULL,**REGRESSION — promotion has no effect on the promoted user's permissions**,NOT APPLICABLE,present,present,wrong table,ineffective,none,none,NONE,FIX REGRESSION,P0,Phase 1,High,not assessed in round 1,hist/old-tag/lib/sponsor-auth.ts:35-110 — sponsor_access.role **was** the effective role for header-authenticated users,"app/admin/users-admin-client.tsx:70-176 → app/api/advertiser-access/route.ts:65-123 (writes sponsor_access); session role comes from users.role only (lib/identity-auth.ts:98-102, lib/auth/identity-map.ts:16-21); grep shows **no writer to users.role** outside register/seed",none,"Admin ""users"" screen assigns roles on the email-keyed sponsor_access table || admin: admin UI edits an inert table"
AUTH-045,ROUND-1 (V2 lineage),A,Role management,Super-admin bootstrap,NOT ASSESSED IN ROUND 1,NOT ASSESSED IN ROUND 1,PARTIAL (insecure auto-admin),"BROKEN — the script never sets status, so the created admin keeps pending_verification and **cannot pass isAccountUsable** (lib/auth/access-control.ts:29-32, app/api/auth/login/route.ts:122)",NOT APPLICABLE,CLI only,n/a,users,n/a,none,none,NONE,FIX REGRESSION,P0,Phase 1,High,not assessed in round 1,"hist/old-tag/lib/sponsor-auth.ts:66-88 (first authenticated user auto-promoted — removed, correctly)",scripts/seed-auth-admin.ts:34-49,none,CLI seed script sets users.role='super_admin' || admin: none
AUTH-046,ROUND-1 (V2 lineage),A,Role management,Moderator scopes (module × country × city),NOT ASSESSED IN ROUND 1,NOT ASSESSED IN ROUND 1,FULL,PARTIAL — scopes stored + audited but never consulted by any authorization check,NOT APPLICABLE,OK,OK,moderator_scopes,not enforced,none,none,NONE,FIX REGRESSION,P1,Phase 2,High,not assessed in round 1,hist/old-tag moderator tab in app/admin/roles-admin-client.tsx,app/api/admin/moderators/route.ts:98-219; eligible users read from sponsor_access (line 41-44),none,Scope rows granting per-module regional moderation || admin: roles page tab moderators
AUTH-047,ROUND-1 (V2 lineage),A,Permissions,Capability augmentation,NOT ASSESSED IN ROUND 1,NOT ASSESSED IN ROUND 1,MISSING,FULL (good pattern),NOT APPLICABLE,n/a,OK,services DB,enforced,none,none,tests/services-authz.test.mjs,KEEP,P1,Phase 2,Low,not assessed in round 1,none found,"lib/services/identity.ts:20-42; used in app/api/auth/login/route.ts:150-153, app/api/auth/me/route.ts:52-55, lib/identity-auth.ts:99-102",none,An approved service_provider_profiles row grants the service_provider permission set on top of the role || admin: none
